"UniqueID","FirstName","Intent","Sentence","Sentiment","Time","Type"
"efed9ddc-d043-43e1-9edb-04de16278686","","Password","Do i'sss needs to change my password","NEGATIVE","2022-04-25 23:44:04.159526","Negative Sentiment"
"8671d234-fc3e-4f32-bfb7-f73e2b58e5ac","Austin","Password","I need to change my password","NEUTRAL","2022-04-25 23:32:54.021559","Success"
"e585688c-fade-426f-a13a-2a2055841270","Austin","Password","My dog ate my password, I need a new one.","NEUTRAL","2022-04-16 21:15:05.872467","Success"
"aded7eb3-070d-4579-9353-507b454638df","","Password","I need to change my password5","'-1","2022-04-26 00:18:53.679312","Intent score below threshold"
"012afb52-a546-4a81-aed6-d0f05425739f","","Password","Do aiasas needs to change my password","NEGATIVE","2022-04-25 23:46:51.598843","Negative Sentiment"
"ade2f75a-5149-462b-857d-e679e78e2a3f","","Password","My dog ate my password, I need a new one","NEUTRAL","2022-04-15 18:43:08.843362","Success"
"4556f5b2-e6bc-43d5-8138-d69203d34c2a","Austin","Credit","I lost my credit card, what do I do?","NEUTRAL","2022-04-26 00:54:18.707179","Success"
"52cd09f9-4e0d-465c-8170-d613ca58cb02","","Password","I cant remember py password","NEUTRAL","2022-04-15 18:26:19.070721","Success"
"c3573e38-6111-4839-8f36-e0122ef4d895","Austin","Password","My dog ate my password, I need a new one.","NEUTRAL","2022-04-16 21:15:18.872491","Success"
"07f4607b-c62f-46ca-970b-13f0276fdc87","Austin","Hardware","I need to replace the battery on my laptop","NEUTRAL","2022-04-26 00:32:34.178997","Success"
"62ccd11f-1cb5-44fb-ad58-eb5910ab9fb8","Austin","Checking","Where can I find the routing number to my checking account ","NEUTRAL","2022-04-26 00:58:35.806144","Success"
"da4409df-ced7-4dfb-a551-40daceb97759","Austin","Password","I forgot my password","NEUTRAL","2022-04-26 00:26:02.559429","Success"
"ac78db7e-59af-4e52-8383-963111ace0c0","","Password","I cant remember py password","NEUTRAL","2022-04-15 17:42:39.049218","Success"
"54071ff2-d59c-4ee7-9a3e-fad9a36439a2","","Credit","I lost my credit card and need a new one","NEGATIVE","2022-04-26 00:51:29.971148","Negative Sentiment"
"04c67d75-814a-4770-a806-f40eb4f1fcb1","","Password","I need to change my password4","'-1","2022-04-26 00:17:38.939208","Intent score below threshold"
"70286c18-c161-490a-b7ed-e6571a7ba390","","Account","I need a new credit card.","'-1","2022-04-25 23:22:33.696259","Intent score below threshold"
"2b23eff9-c357-4a3c-beeb-ba5f558b729e","","Credit","I lost my credit card and need a new one","NEGATIVE","2022-04-26 00:53:55.669963","Negative Sentiment"
"3683e32d-623f-4041-8833-a0418cc8e660","","Password","I need to change my password","'-1","2022-04-25 23:24:34.898579","Intent score below threshold"
"c0f17588-b310-4cea-871d-5c790722232a","","Password","My dog ate my password, I need a new one","NEUTRAL","2022-04-15 18:41:46.818967","Success"
"7631bfaf-10b6-41bf-86bd-3b15269bd144","","Account","I need a new credit card.","'-1","2022-04-25 23:22:24.395811","Intent score below threshold"
"09d75d4e-52f3-44eb-8f3e-7152f9bb5ecf","Austin","Password","I forgot my password.","NEUTRAL","2022-04-26 00:43:43.988065","Success"
"34b3d288-7878-4d6d-be5c-37289f9e881f","","Password","I need to change my password9","'-1","2022-04-26 00:21:42.819699","Intent score below threshold"
"2aac61a0-0eb3-491d-84bb-57f2303996e0","","Password","Do i's needs to change my password","NEGATIVE","2022-04-25 23:42:47.394267","Negative Sentiment"
"f336061b-c7d0-4630-a8f5-e07f2aa6ac3a","Austin","Password","Who needs to change my password","NEUTRAL","2022-04-25 23:40:27.701759","Success"
